Vía 177;177;177;;0;Unknown;-;-
Vía 177;177;177;;0;Unknown;-;-
Calle Palo Campana;Palo Campana;Palo;Campana;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Calle Nuevo Horizonte;Nuevo Horizonte;Nuevo;Horizonte;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle Herrera;Herrera;Herrera;;0;Unknown;-;-
Calle Cuesta Calderón;Cuesta Calderón;Cuesta;Calderón;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Calle León;León;León;;-2;Male;-;-
Vía 177;177;177;;0;Unknown;-;-
Calle Chinchilla;Chinchilla;Chinchilla;;0;Unknown;-;-
Calle El Alto;El Alto;El;Alto;0;Unknown;-;-
Calle Palo Campano;Palo Campano;Palo;Campano;0;Unknown;-;-
Calle La Chanfaina;La Chanfaina;La;Chanfaina;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Vía 110;110;110;;0;Unknown;-;-
Vía 177;177;177;;0;Unknown;-;-
Avenida 66;66;66;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Calle Barboza;Barboza;Barboza;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 64;64;64;;0;Unknown;-;-
Calle Fray Martín de Porres;Fray Martín Porres;Fray;Martín;-2;Male;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle Chinchilla;Chinchilla;Chinchilla;;0;Unknown;-;-
Calle Nueva;Nueva;Nueva;;0;Unknown;-;-
Vía 217;217;217;;0;Unknown;-;-
Calle Herrera;Herrera;Herrera;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle Tejar;Tejar;Tejar;;0;Unknown;-;-
Calle Tejar;Tejar;Tejar;;0;Unknown;-;-
Calle Patalillo;Patalillo;Patalillo;;0;Unknown;-;-
Calle Alfarera;Alfarera;Alfarera;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Avenida 70;70;70;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Avenida 70;70;70;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle Mango;Mango;Mango;;0;Unknown;-;-
Calle Mango;Mango;Mango;;0;Unknown;-;-
Avenida 76;76;76;;0;Unknown;-;-
Calle 40B;40B;40B;;0;Unknown;-;-
Calle 40A;40A;40A;;0;Unknown;-;-
Avenida 74;74;74;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Avenida 78;78;78;;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Calle Cordero;Cordero;Cordero;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Avenida 60;60;60;;0;Unknown;-;-
Calle Barranco;Barranco;Barranco;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle Marcada;Marcada;Marcada;;0;Unknown;-;-
Calle El Chorro;El Chorro;El;Chorro;0;Unknown;-;-
Calle Chinchilla;Chinchilla;Chinchilla;;0;Unknown;-;-
Calle El Chorro;El Chorro;El;Chorro;0;Unknown;-;-
Avenida 70;70;70;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle Altamira;Altamira;Altamira;;2;Female;-;-
Calle 44;44;44;;0;Unknown;-;-
Calle 42A;42A;42A;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle El Alto;El Alto;El;Alto;0;Unknown;-;-
Calle Palo Campano;Palo Campano;Palo;Campano;0;Unknown;-;-
Calle Palo Campano;Palo Campano;Palo;Campano;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Calle El Rosal;El Rosal;El;Rosal;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 52A;52A;52A;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 78B;78B;78B;;0;Unknown;-;-
Avenida 78A;78A;78A;;0;Unknown;-;-
Avenida 78;78;78;;0;Unknown;-;-
Avenida 78A;78A;78A;;0;Unknown;-;-
Avenida 70A;70A;70A;;0;Unknown;-;-
Avenida 70A;70A;70A;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle;;;;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Tejarcillos;Tejarcillos;Tejarcillos;;0;Unknown;-;-
Avenida 76;76;76;;0;Unknown;-;-
Avenida 62;62;62;;0;Unknown;-;-
Avenida 72;72;72;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Calle Herrera;Herrera;Herrera;;0;Unknown;-;-
Avenida 66;66;66;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Calle 52B;52B;52B;;0;Unknown;-;-
Calle Palo Campano;Palo Campano;Palo;Campano;0;Unknown;-;-
Vía 110;110;110;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle Chirivico;Chirivico;Chirivico;;0;Unknown;-;-
Calle Dimosa;Dimosa;Dimosa;;0;Unknown;-;-
Calle Tanque;Tanque;Tanque;;0;Unknown;-;-
Calle Barranco;Barranco;Barranco;;0;Unknown;-;-
Calle Cletas;Cletas;Cletas;;0;Unknown;-;-
Calle Barranco;Barranco;Barranco;;0;Unknown;-;-
Calle Chinchilla;Chinchilla;Chinchilla;;0;Unknown;-;-
Avenida 80;80;80;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Avenida 60;60;60;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Verbena;Verbena;Verbena;;0;Unknown;-;-
Calle Barboza;Barboza;Barboza;;0;Unknown;-;-
Calle Turrujal;Turrujal;Turrujal;;0;Unknown;-;-
Avenida 70;70;70;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Avenida 68;68;68;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Avenida 72;72;72;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Avenida 72;72;72;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Vía 110;110;110;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Calle Cuesta Calderón;Cuesta Calderón;Cuesta;Calderón;0;Unknown;-;-
Calle Chinchilla;Chinchilla;Chinchilla;;0;Unknown;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle La Chanfaina;La Chanfaina;La;Chanfaina;0;Unknown;-;-
Calle Cedros;Cedros;Cedros;;0;Unknown;-;-
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;-;-
Calle Aguacate;Aguacate;Aguacate;;0;Unknown;-;-
Calle Hacienda;Calle;Calle;;0;Unknown;-;-
Calle Mora;Mora;Mora;;2;Female;-;-
Calle Caracas;Caracas;Caracas;;0;Unknown;-;-
Calle La Chanfaina;La Chanfaina;La;Chanfaina;0;Unknown;-;-
Calle Hacienda;Calle;Calle;;0;Unknown;-;-
Calle Mora;Mora;Mora;;2;Female;-;-
Calle Aguacate;Aguacate;Aguacate;;0;Unknown;-;-
Vía 105;105;105;;0;Unknown;-;-
Vía 217;217;217;;0;Unknown;-;-
Vía 217;217;217;;0;Unknown;-;-
Calle Patalillo;Patalillo;Patalillo;;0;Unknown;-;-
Calle Nazareno;Nazareno;Nazareno;;-2;Male;-;-
Calle Barranco;Barranco;Barranco;;0;Unknown;-;-
Vía 217;217;217;;0;Unknown;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle Cedros;Cedros;Cedros;;0;Unknown;-;-
Calle Aguacate;Aguacate;Aguacate;;0;Unknown;-;-
Calle Caracas;Caracas;Caracas;;0;Unknown;-;-
Calle Tanque;Tanque;Tanque;;0;Unknown;-;-
Calle Itabas;Itabas;Itabas;;0;Unknown;-;-
Calle Tanque;Tanque;Tanque;;0;Unknown;-;-
Calle Los Rojas;Los Rojas;Los;Rojas;0;Unknown;-;-
Calle Bosquete;Bosquete;Bosquete;;0;Unknown;-;-
Calle Aguacate;Aguacate;Aguacate;;0;Unknown;-;-
Calle Común;Común;Común;;0;Unknown;-;-
