Vía 209;209;209;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Vía 222;222;222;;0;Unknown;-;-
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Limón;Limón;Limón;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;-;-
Calle Limón;Limón;Limón;;0;Unknown;-;-
Calle 4A;4A;4A;;0;Unknown;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle Salitrillos;Salitrillos;Salitrillos;;0;Unknown;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle 4A;4A;4A;;0;Unknown;-;-
Vía 217;217;217;;0;Unknown;-;-
Calle Gamboa;Gamboa;Gamboa;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle Díaz Fallas;Díaz Fallas;Díaz;Fallas;0;Unknown;-;-
Calle Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;-;-
Vía 209;209;209;;0;Unknown;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle San José;San José;San;José;-2;Male;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Calle Los Manzanos;Los Manzanos;Los;Manzanos;0;Unknown;-;-
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-
Vía 313;313;313;;0;Unknown;-;-
Ruta Nacional 209;Ruta Nacional 209;Ruta;Nacional;2;Female;-;-
Vía 209;209;209;;0;Unknown;-;-
Calle Cuesta de Piedra;Cuesta Piedra;Cuesta;Piedra;0;Unknown;-;-
Calle 13 de Enero;13 Enero;13;Enero;0;Unknown;-;-
Calle La Primavera;La Primavera;La;Primavera;2;Female;-;-
Calle Encantada;Encantada;Encantada;;0;Unknown;-;-
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;-;-
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-
Calle el Trpiche;el Trpiche;el;Trpiche;0;Unknown;-;-
Calle Azulillos;Azulillos;Azulillos;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 0A;0A;0A;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Diagonal Central;Diagonal;Diagonal;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Diagonal Central;Diagonal;Diagonal;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
Vía 336;336;336;;0;Unknown;-;-
B° Los Cruz;B° Los Cruz;B°;Los;2;Female;-;-
Calle La Planta;La Planta;La;Planta;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle Limón;Limón;Limón;;0;Unknown;-;-
Calle Limón;Limón;Limón;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Calle Retana;Retana;Retana;;0;Unknown;-;-
Estacion Terrena ICE;Estacion Terrena ICE;Estacion;Terrena;0;Unknown;-;-
Calle El Ambiente;El Ambiente;El;Ambiente;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Vía 312;312;312;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Vía 312;312;312;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle Hidalgo;Hidalgo;Hidalgo;;0;Unknown;-;-
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Barrio Santa Lucia;Barrio Santa Lucia;Barrio;Santa;2;Female;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 1A;1A;1A;;0;Unknown;-;-
Calle 1B;1B;1B;;0;Unknown;-;-
Calle El Alto;El Alto;El;Alto;0;Unknown;-;-
Calle Azulillos;Azulillos;Azulillos;;0;Unknown;-;-
Calle La Planta;La Planta;La;Planta;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Ruta Nacional 217;Ruta Nacional 217;Ruta;Nacional;2;Female;-;-
Monterredondo - Jocotal;Monterredondo - Jocotal;Monterredondo;-;0;Unknown;-;-
Monterredondo - Jocotal;Monterredondo - Jocotal;Monterredondo;-;0;Unknown;-;-
Monterredondo;Monterredondo;Monterredondo;;0;Unknown;-;-
Monterredondo;Monterredondo;Monterredondo;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Calle Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle Altavista-Tarbaca;Altavista-Tarbaca;Altavista-Tarbaca;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Vía 222;222;222;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle Llano Bonito;Llano Bonito;Llano;Bonito;0;Unknown;-;-
Calle de la Joya-Tarbaca;Joya-Tarbaca;Joya-Tarbaca;;0;Unknown;-;-
Calle Pinares;Pinares;Pinares;;0;Unknown;-;-
Calle Chirogres-Tigre;Chirogres-Tigre;Chirogres-Tigre;;0;Unknown;-;-
Calle Alto del Estillero-Tarbaca;Alto Estillero-Tarbaca;Alto;Estillero-Tarbaca;0;Unknown;-;-
Calle al Alto del EStillero;al Alto EStillero;al;Alto;0;Unknown;-;-
Calle Altavista-Jerico;Altavista-Jerico;Altavista-Jerico;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Diagonal Central;Diagonal;Diagonal;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 3A;3A;3A;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle El Alto;El Alto;El;Alto;0;Unknown;-;-
Ruta Nacional 209;Ruta Nacional 209;Ruta;Nacional;2;Female;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;-;-
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Calle La Planta;La Planta;La;Planta;0;Unknown;-;-
Calle Guinealillo;Guinealillo;Guinealillo;;0;Unknown;-;-
Calle Lagunillas;Lagunillas;Lagunillas;;0;Unknown;-;-
Calle Azulillos;Azulillos;Azulillos;;0;Unknown;-;-
Calle  Quebrada Honda-Altavista;Quebrada Honda-Altavista;Quebrada;Honda-Altavista;0;Unknown;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle El Alto;El Alto;El;Alto;0;Unknown;-;-
calle Tigre-Tranquerillas;Tigre-Tranquerillas;Tigre-Tranquerillas;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
Monterredondo - Jocotal;Monterredondo - Jocotal;Monterredondo;-;0;Unknown;-;-
Monterredondo - Jocotal;Monterredondo - Jocotal;Monterredondo;-;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Vía 209;209;209;;0;Unknown;-;-
Vía 336;336;336;;0;Unknown;-;-
Sendero Dragón;Dragón;Dragón;;0;Unknown;-;-
Vía 313;313;313;;0;Unknown;-;-
