Vía 116;116;116;;0;Unknown;-;-
Calle Venero;Venero;Venero;;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Chaves;Chaves;Chaves;;0;Unknown;-;-
Calle Chilillal;Chilillal;Chilillal;;0;Unknown;-;-
Bosque Caricias;Bosque Caricias;Bosque;Caricias;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Chizos;Chizos;Chizos;;0;Unknown;-;-
Calle El Gringo;El Gringo;El;Gringo;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Huacalillo;Huacalillo;Huacalillo;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Montaña Azul;Montaña Azul;Montaña;Azul;2;Female;-;-
Calle Venegas;Venegas;Venegas;;0;Unknown;-;-
Calle Bombacho;Bombacho;Bombacho;;0;Unknown;-;-
Calle Padre Blanco;Padre Blanco;Padre;Blanco;0;Unknown;-;-
Sendero Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Bosque Caricias;Bosque Caricias;Bosque;Caricias;0;Unknown;-;-
Calle Plywood;Plywood;Plywood;;0;Unknown;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Calle Quetzal;Quetzal;Quetzal;;0;Unknown;-;-
Calle Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle Quetzal;Quetzal;Quetzal;;0;Unknown;-;-
Calle Lázaro;Lázaro;Lázaro;;-2;Male;-;-
Calle Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle Zurquí;Zurquí;Zurquí;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Vía 112;112;112;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;-;-
Calle Bin;Bin;Bin;;2;Female;-;-
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;-;-
Calle Gildo;Gildo;Gildo;;-2;Male;-;-
Calle Las Quebradas;Las Quebradas;Las;Quebradas;0;Unknown;-;-
Calle La Isidreña;La Isidreña;La;Isidreña;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;-;-
Calle Las Quebradas;Las Quebradas;Las;Quebradas;0;Unknown;-;-
Calle Las Quebradas;Las Quebradas;Las;Quebradas;0;Unknown;-;-
Calle La Unión;La Unión;La;Unión;0;Unknown;-;-
Calle Hernández;Hernández;Hernández;;0;Unknown;-;-
Calle Aguacate;Aguacate;Aguacate;;0;Unknown;-;-
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Turú;Turú;Turú;;0;Unknown;-;-
Calle Los Leones;Los Leones;Los;Leones;0;Unknown;-;-
Calle Cipreses;Cipreses;Cipreses;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Calle Chilillal;Chilillal;Chilillal;;0;Unknown;-;-
Avenida Las Lajas;Las Lajas;Las;Lajas;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle La Amistad;La Amistad;La;Amistad;0;Unknown;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle Villalobos;Villalobos;Villalobos;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Agustín Valerio;Agustín Valerio;Agustín;Valerio;-2;Male;-;-
Boulevard Victoria;Victoria;Victoria;;2;Female;-;-
Calle Venecia;Venecia;Venecia;;2;Female;-;-
Calle Vary;Vary;Vary;;0;Unknown;-;-
Avenida Valencia;Valencia;Valencia;;0;Unknown;-;-
Calle Viena;Viena;Viena;;2;Female;-;-
Calle Azofeifa;Azofeifa;Azofeifa;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Avenida Versalles;Versalles;Versalles;;0;Unknown;-;-
Avenida Vigo;Vigo;Vigo;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle Nazareth;Nazareth;Nazareth;;2;Female;-;-
Calle Tibás;Tibás;Tibás;;0;Unknown;-;-
Calle Chaves;Chaves;Chaves;;0;Unknown;-;-
Avenida Los Pinos;Los Pinos;Los;Pinos;0;Unknown;-;-
Avenida Los Avedules;Los Avedules;Los;Avedules;0;Unknown;-;-
Avenida Los Jotas;Los Jotas;Los;Jotas;0;Unknown;-;-
Avenida Las Lajas;Las Lajas;Las;Lajas;0;Unknown;-;-
Calle La Hacienda;Calle La;Calle;La;0;Unknown;-;-
Avenida La Gloria;La Gloria;La;Gloria;2;Female;-;-
Avenida Las Acacias;Las Acacias;Las;Acacias;0;Unknown;-;-
Calle Los Parques;Los Parques;Los;Parques;0;Unknown;-;-
Calle Veroliz;Veroliz;Veroliz;;0;Unknown;-;-
Calle El Milagro;El Milagro;El;Milagro;2;Female;-;-
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Los Cosposas;Los Cosposas;Los;Cosposas;0;Unknown;-;-
Calle Los Leitón;Los Leitón;Los;Leitón;0;Unknown;-;-
Calle Navidad;Navidad;Navidad;;2;Female;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Cantarrana;Cantarrana;Cantarrana;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Av. El Cedral;El Cedral;El;Cedral;0;Unknown;-;-
Calle Los Parques;Los Parques;Los;Parques;0;Unknown;-;-
Calle El Milagro;El Milagro;El;Milagro;2;Female;-;-
Calle Las Quebradas;Las Quebradas;Las;Quebradas;0;Unknown;-;-
Calle Las Quebradas;Las Quebradas;Las;Quebradas;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle Chilillal;Chilillal;Chilillal;;0;Unknown;-;-
Calle Venecia;Venecia;Venecia;;2;Female;-;-
Calle La Quintana;La Quintana;La;Quintana;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle Rinconada;Rinconada;Rinconada;;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle La Esperanza;La Esperanza;La;Esperanza;2;Female;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Ruta Nacional 112;Ruta Nacional 112;Ruta;Nacional;2;Female;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle Chaves;Chaves;Chaves;;0;Unknown;-;-
Calle Chaves;Chaves;Chaves;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle Los Orozco;Los Orozco;Los;Orozco;0;Unknown;-;-
Avenida El Portillo;El Portillo;El;Portillo;0;Unknown;-;-
Calle Los Parques;Los Parques;Los;Parques;0;Unknown;-;-
Calle Astillero;Astillero;Astillero;;0;Unknown;-;-
Calle Tibás;Tibás;Tibás;;0;Unknown;-;-
Avenida 16;16;16;;0;Unknown;-;-
Calle La Isidreña;La Isidreña;La;Isidreña;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;-;-
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;-;-
Calle La Hacienda;Calle La;Calle;La;0;Unknown;-;-
Boulevard Victoria;Victoria;Victoria;;2;Female;-;-
Calle Venecia;Venecia;Venecia;;2;Female;-;-
Avenida Verona;Verona;Verona;;2;Female;-;-
Calle La Quintana;La Quintana;La;Quintana;0;Unknown;-;-
Calle La Uruca;La Uruca;La;Uruca;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle 4;4;4;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle Yerbabuena;Yerbabuena;Yerbabuena;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle Las Juntas;Las Juntas;Las;Juntas;0;Unknown;-;-
Calle Solís;Solís;Solís;;0;Unknown;-;-
Calle Chizos;Chizos;Chizos;;0;Unknown;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Rubí;Rubí;Rubí;;2;Female;-;-
Avenida 8;8;8;;0;Unknown;-;-
Calle Yerbabuena;Yerbabuena;Yerbabuena;;0;Unknown;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Calle Los Itabos;Los Itabos;Los;Itabos;0;Unknown;-;-
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-
Calle Gemelo;Gemelo;Gemelo;;0;Unknown;-;-
Calle Azofeifa;Azofeifa;Azofeifa;;0;Unknown;-;-
Calle Turú;Turú;Turú;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle Chavarría;Chavarría;Chavarría;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Cometa;Cometa;Cometa;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Yerbabuena;Yerbabuena;Yerbabuena;;0;Unknown;-;-
Calle Turú;Turú;Turú;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle Tranqueras;Tranqueras;Tranqueras;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle Chavarría;Chavarría;Chavarría;;0;Unknown;-;-
Calle Los Ramírez;Los Ramírez;Los;Ramírez;0;Unknown;-;-
Calle Caricias;Caricias;Caricias;;0;Unknown;-;-
Calle Villalobos;Villalobos;Villalobos;;0;Unknown;-;-
Calle Zurquí;Zurquí;Zurquí;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-
Vía 112;112;112;;0;Unknown;-;-
Vía 112;112;112;;0;Unknown;-;-
