Avenida 63;63;63;;0;Unknown;-;-
Avenida 75;75;75;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Diagonal 47;Diagonal 47;Diagonal;47;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Calle 74;74;74;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 43;43;43;;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Calle 64;64;64;;0;Unknown;-;-
Calle 62;62;62;;0;Unknown;-;-
Calle 60;60;60;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Avenida 21A;21A;21A;;0;Unknown;-;-
Calle 66;66;66;;0;Unknown;-;-
Calle 41A;41A;41A;;0;Unknown;-;-
Calle 60;60;60;;0;Unknown;-;-
Avenida 0;0;0;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 5A;5A;5A;;0;Unknown;-;-
Avenida 5A;5A;5A;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Transversal 80;Transversal 80;Transversal;80;0;Unknown;-;-
Diagonal 8;Diagonal 8;Diagonal;8;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Caller 78;r 78;r;78;0;Unknown;-;-
Doagonal 2A;Doagonal 2A;Doagonal;2A;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Calle 54A;54A;54A;;0;Unknown;-;-
Avenida 39B;39B;39B;;0;Unknown;-;-
Calle 68;68;68;;0;Unknown;-;-
Avenida 39A;39A;39A;;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Transversal 46;Transversal 46;Transversal;46;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-
Calle 76A;76A;76A;;0;Unknown;-;-
Calle 80;80;80;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 48A;48A;48A;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 78;78;78;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Avenida 41;41;41;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 46A;46A;46A;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 50A;50A;50A;;0;Unknown;-;-
Calle 52B;52B;52B;;0;Unknown;-;-
Diagonal 25;Diagonal 25;Diagonal;25;0;Unknown;-;-
Calle 88;88;88;;0;Unknown;-;-
Diagonal 3;Diagonal 3;Diagonal;3;0;Unknown;-;-
Avenida 57A;57A;57A;;0;Unknown;-;-
Calle 92;92;92;;0;Unknown;-;-
Calle 52A;52A;52A;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Calle 94;94;94;;0;Unknown;-;-
Calle 48A;48A;48A;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 59A;59A;59A;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle 46B;46B;46B;;0;Unknown;-;-
Calle 92A;92A;92A;;0;Unknown;-;-
Transversal 66;Transversal 66;Transversal;66;0;Unknown;-;-
Calle 68;68;68;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 66;66;66;;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 72;72;72;;0;Unknown;-;-
Calle 82;82;82;;0;Unknown;-;-
Diagonal 39;Diagonal 39;Diagonal;39;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 58;58;58;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 60;60;60;;0;Unknown;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Calle 52B;52B;52B;;0;Unknown;-;-
Diagonal 26;Diagonal 26;Diagonal;26;0;Unknown;-;-
Avenida 28;28;28;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 17;17;17;;0;Unknown;-;-
Calle 86;86;86;;0;Unknown;-;-
Calle 102;102;102;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Avenida 11A;11A;11A;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Diagonal 13;Diagonal 13;Diagonal;13;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Barrio Los Angeles;Barrio Los Angeles;Barrio;Los;2;Female;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Avenida 43A;43A;43A;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 98;98;98;;0;Unknown;-;-
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-
Calle 50;50;50;;0;Unknown;-;-
Barrio Los Angeles;Barrio Los Angeles;Barrio;Los;2;Female;-;-
Barrio Los Angeles;Barrio Los Angeles;Barrio;Los;2;Female;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Avenida 21;21;21;;0;Unknown;-;-
Calle 94;94;94;;0;Unknown;-;-
Diagonal 5;Diagonal 5;Diagonal;5;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle 76B;76B;76B;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Transversal 106;Transversal 106;Transversal;106;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 35A;35A;35A;;0;Unknown;-;-
Calle 110;110;110;;0;Unknown;-;-
Avenidas 3;s 3;s;3;0;Unknown;-;-
Calle 82;82;82;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle 58;58;58;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle 66;66;66;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Calle 58;58;58;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Transversal 40;Transversal 40;Transversal;40;0;Unknown;-;-
Avenida 0;0;0;;0;Unknown;-;-
Avenida 37;37;37;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 27;27;27;;0;Unknown;-;-
Calle 90;90;90;;0;Unknown;-;-
Calle 94A;94A;94A;;0;Unknown;-;-
Calle 96;96;96;;0;Unknown;-;-
Calle 96A;96A;96A;;0;Unknown;-;-
Avenida 18;18;18;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Avenida 18;18;18;;0;Unknown;-;-
Avenida 16;16;16;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 58;58;58;;0;Unknown;-;-
Transversal 40;Transversal 40;Transversal;40;0;Unknown;-;-
Transversal 40;Transversal 40;Transversal;40;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Calle 96A;96A;96A;;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Calle 110;110;110;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 37;37;37;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Calle 100;100;100;;0;Unknown;-;-
Transversal 100;Transversal 100;Transversal;100;0;Unknown;-;-
Calle 124;124;124;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 100;100;100;;0;Unknown;-;-
Calle 102;102;102;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Calle 102;102;102;;0;Unknown;-;-
Calle 98;98;98;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Diagonal 23;Diagonal 23;Diagonal;23;0;Unknown;-;-
Calle 96B;96B;96B;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Calle Los Vargas;Los Vargas;Los;Vargas;0;Unknown;-;-
Calle 92;92;92;;0;Unknown;-;-
Barrio Los Angeles;Barrio Los Angeles;Barrio;Los;2;Female;-;-
Diagonal 23;Diagonal 23;Diagonal;23;0;Unknown;-;-
Diagonal 23;Diagonal 23;Diagonal;23;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Transversal 32;Transversal 32;Transversal;32;0;Unknown;-;-
Avenida 43;43;43;;0;Unknown;-;-
Transversal 52;Transversal 52;Transversal;52;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Calle 80;80;80;;0;Unknown;-;-
Calle 82;82;82;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Avenida 47;47;47;;0;Unknown;-;-
Calle 72;72;72;;0;Unknown;-;-
Avenida 47;47;47;;0;Unknown;-;-
Diagonal 47;Diagonal 47;Diagonal;47;0;Unknown;-;-
Avenida 47;47;47;;0;Unknown;-;-
Calle 60;60;60;;0;Unknown;-;-
Calle 44A;44A;44A;;0;Unknown;-;-
Calle 104;104;104;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Diagonal 0;Diagonal 0;Diagonal;0;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Avenida 10A;10A;10A;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 80;80;80;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 2A;2A;2A;;0;Unknown;-;-
Avenida 2A;2A;2A;;0;Unknown;-;-
Diagonal 2A;Diagonal 2A;Diagonal;2A;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 70;70;70;;0;Unknown;-;-
Calle 68;68;68;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Transversal 52;Transversal 52;Transversal;52;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Avenida 22;22;22;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 28;28;28;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 16;16;16;;0;Unknown;-;-
Calle 52A;52A;52A;;0;Unknown;-;-
Calle 46A;46A;46A;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle 72;72;72;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 20;20;20;;0;Unknown;-;-
Avenida 20;20;20;;0;Unknown;-;-
Calle 84;84;84;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Calle 84A;84A;84A;;0;Unknown;-;-
Calle 82A;82A;82A;;0;Unknown;-;-
Diag. 12;Diag. 12;Diag.;12;0;Unknown;-;-
Calle 70;70;70;;0;Unknown;-;-
Diagonal 12;Diagonal 12;Diagonal;12;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 14A;14A;14A;;0;Unknown;-;-
Avenida 16;16;16;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 26;26;26;;0;Unknown;-;-
Verdi Condo Residences;Verdi Condo Residences;Verdi;Condo;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Avenida 43A;43A;43A;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Avenida 63;63;63;;0;Unknown;-;-
Avenida 63;63;63;;0;Unknown;-;-
Calle 54A;54A;54A;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-
Radial Colón;Radial Colón;Radial;Colón;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Calle 12;12;12;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Avenida 13A;13A;13A;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Calle 5;5;5;;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 63;63;63;;0;Unknown;-;-
Avenida 37;37;37;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Avenida 75;75;75;;0;Unknown;-;-
Calle 28;28;28;;0;Unknown;-;-
Avenida 73A;73A;73A;;0;Unknown;-;-
Diagonal 73;Diagonal 73;Diagonal;73;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Avenida 73;73;73;;0;Unknown;-;-
Calle 20;20;20;;0;Unknown;-;-
Avenida 73;73;73;;0;Unknown;-;-
Avenida 65;65;65;;0;Unknown;-;-
Calle 22;22;22;;0;Unknown;-;-
Calle 22;22;22;;0;Unknown;-;-
Avenida 67A;67A;67A;;0;Unknown;-;-
Calle 30;30;30;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Avenida 0;0;0;;0;Unknown;-;-
Vía 121;121;121;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Vía 310;310;310;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Avenida 73;73;73;;0;Unknown;-;-
Calle 14A;14A;14A;;0;Unknown;-;-
Vía 310;310;310;;0;Unknown;-;-
Vía 310;310;310;;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Avenida 24;24;24;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
